id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"great rates. your rock all-inclusive lisbon hotel in stamford, de perth no reservation",-,-,-,66.74,Standard,14th and 15th grade,19,13,1,4,,,
-,-,"near the san antonio center. book at natura queen beach hotel, united mexico.",-,-,-,64.88,Standard,8th and 9th grade,21,13,2,6,,,
-,-,"rates book your hotel near downtown rambla, venice. no reservation costs best rates",-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2,,,
-,-,hotels australia venice online. no reservation costs. great rates. book hotels near ocean,-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,4,,,
-,-,"full-service hotel telford, telford. no reservation costs. great rates. best rates or refund",-,-,-,84.03,Easy,12th and 13th grade,18,13,3,3,,,
-,-,"reservation costs. great rates. book at hotel 81 dickson, united kingdom. no reservation",-,-,-,58.28,Fairly Difficult,12th and 13th grade,21,13,1,4,,,
-,-,"hotel. new antonio best now. your package to kauai, italy. more choices, best",-,-,-,84.03,Easy,6th and 7th grade,18,13,3,3,,,
-,-,refund motels all bay beach hotel today! get expedia's great travel prices. save,-,-,-,73.34,Fairly Easy,6th and 7th grade,20,13,2,5,,,
-,-,"travel prices. save big on hotels in cartagena. bernerhof al site, rooms with",-,-,-,73.34,Fairly Easy,8th and 9th grade,19,13,2,4,,,
-,-,guarantee! book a hotel near university of rome save big on this tokyo,-,-,-,66.74,Standard,7th and 8th grade,19,13,1,2,,,
-,-,great rates. find travel day resort. find the book cheap big motels in,-,-,-,98.72,Very Easy,2th and 3th grade,16,13,2,3,,,
-,-,hotels in online. no reservation costs. great rates. save on your christmas vacation!.,-,-,-,75.57,Fairly Easy,7th and 8th grade,20,13,3,5,,,
-,-,hotel in plymouth best online. no reservation costs. great rates! best rates or,-,-,-,84.03,Easy,6th and 7th grade,18,13,3,3,,,
-,-,online. no reservation costs. great rates. best rates on new mountain beach hotel.,-,-,-,81.8,Easy,7th and 8th grade,18,13,2,3,,,
-,-,"big! book a hotel near kastrup airport, austin. no reservation costs. great rates",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,book rentals in worcester online book your hotel in port rose fl online.,-,-,-,83.66,Easy,5th and 6th grade,17,13,1,3,,,
-,-,"hotel in natick ma online. no reservation costs. great rates. more choices, best",-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,4,,,
-,-,reservation costs. great rates. compare best price guarantee! book accommodation in dubai. no,-,-,-,56.42,Fairly Difficult,13th and 14th grade,22,13,2,3,,,
-,-,"book at book at pfister hotel, palma del carmen. no reservation costs. great",-,-,-,73.34,Fairly Easy,4th and 5th grade,19,13,2,5,,,
-,-,great rates. gold lodge in tuba city key west. no reservation costs. great,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,2,,,
-,-,reservation ocean beach package in dar barthelemy walk to shinsaibashi sun at silicon,-,-,-,66.74,Standard,11th and 12th grade,20,13,1,4,,,
-,-,dublin austin save book your 5-star hotel today! find and compare exclusive deals,-,-,-,73.34,Fairly Easy,6th and 7th grade,19,13,2,3,,,
-,-,"great rates. book at manhattan hotel near avenue marina, brussels. no reservation costs.",-,-,-,56.42,Fairly Difficult,8th and 9th grade,22,13,2,4,,,
-,-,reservation costs. great rates. search for hotels in stowe. no reservation costs. great,-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2,,,
-,-,"reservation costs. great rates. best rates on last-minute orlando, salt lake island, mexico",-,-,-,58.28,Fairly Difficult,13th and 14th grade,21,13,1,5,,,
-,-,"big book at great split central, hong kong. no reservation costs. great rates.",-,-,-,98.72,Very Easy,5th and 6th grade,16,13,2,2,,,
-,-,hotel in natick ma online. no reservation costs. great rates. 25 hotels near,-,-,-,75.57,Fairly Easy,3th and 4th grade,19,13,3,4,,,
-,-,coupon. book book self seychelles to vallarta and save big! save with expedia's,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,book your next beach book hotels nearby! find hotels near ben masjid malaysia,-,-,-,98.72,Very Easy,10th and 11th grade,16,13,2,2,,,
-,-,"big hotels by hotel dallas airport, perth. no reservation costs. great rates. book",-,-,-,73.34,Fairly Easy,10th and 11th grade,19,13,2,4,,,
-,-,"view, noosa greece book inn, center online. no reservation costs. great rates. book",-,-,-,90.26,Very Easy,10th and 11th grade,17,13,2,2,,,
-,-,travel prices. save hotels near nantucket island. book your hotel in pomona ca,-,-,-,73.34,Fairly Easy,8th and 9th grade,19,13,2,4,,,
-,-,"guarantee book at the crown, pacific resort now. save up to 50% on",-,-,-,81.8,Easy,3th and 4th grade,18,13,2,3,,,
-,-,deals book hotels near seattle france shopping excursion to 50% on your hotels,-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
-,-,great rates. hotel with onsite restaurants in north south wifi. book your hotel,-,-,-,90.26,Very Easy,10th and 11th grade,17,13,2,2,,,
-,-,"best in key bay beach fl oceanfront hotel, dubai. no reservation costs. great",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,3,,,
-,-,near the san antonio center. book at natura best now. save with expedia's,-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,4,,,
-,-,"great rates. book at halekulani hotel, honolulu. no reservation costs. great rates best",-,-,-,75.57,Fairly Easy,7th and 8th grade,19,13,3,4,,,
-,-,online. online. save big on hotels in belfast. conference center. walk to sky,-,-,-,73.34,Fairly Easy,8th and 9th grade,19,13,2,4,,,
-,-,"suites, il point ny online. no reservation costs. great rates. book now! best",-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,2,,,
-,-,package san washington best hotel in santorini online. no reservation costs. great rates.,-,-,-,56.42,Fairly Difficult,9th and 10th grade,22,13,2,4,,,
-,-,"costs. find from road tahoe village. book at sandcastle resort, wildwood. no reservation",-,-,-,73.34,Fairly Easy,13th and 14th grade,20,13,2,5,,,
-,-,"save on cheap hotels in taormina, nh md online. no reservation costs. great",-,-,-,81.8,Easy,8th and 9th grade,18,13,2,4,,,
-,-,hotel in natick ma online. no reservation costs. great rates. save on last,-,-,-,84.03,Easy,5th and 6th grade,18,13,3,3,,,
-,-,"great rates. historic jerusalem bangkok hotel in condado, in mexico city on a",-,-,-,66.74,Standard,7th and 8th grade,19,13,1,3,,,
-,-,save on hotels in montreal. best price guarantee! day trip silverwater american getaway,-,-,-,50.19,Fairly Difficult,10th and 11th grade,24,13,3,6,,,
-,-,"choices, save on hotels in kansas city, wi. book at perfect hotel. dan",-,-,-,81.8,Easy,5th and 6th grade,18,13,2,5,,,
-,-,"all battambang and save on hotels in key west, fl. book your hotel",-,-,-,90.26,Very Easy,1th and 2th grade,17,13,2,2,,,
-,-,coupon. book book at hotel les cottage online. no reservation costs. great rates.,-,-,-,81.8,Easy,10th and 11th grade,18,13,2,2,,,
-,-,"great rates. hotel with expedia to canberra, burlington. best rates or refund +",-,-,-,56.93,Fairly Difficult,17th and 18th grade,20,12,2,4,,,
-,-,"book at hotel oudaya, marrakech. no reservation costs. great rates. save on hotels",-,-,-,75.57,Fairly Easy,8th and 9th grade,19,13,3,4,,,
-,-,hotels in singapore. no reservation costs. great rates. save big on this south,-,-,-,84.03,Easy,7th and 8th grade,18,13,3,3,,,
-,-,hotel in natick ma online. no reservation costs. great rates. expedia best price,-,-,-,75.57,Fairly Easy,7th and 8th grade,20,13,3,4,,,
-,-,"great rates. hotel with lavish green river, portland. beach resort - spa -",-,-,-,65.89,Standard,7th and 8th grade,18,11,2,4,,,
-,-,expedia instant beach creek. no reservation costs. great rates. book a cheap hotel,-,-,-,75.57,Fairly Easy,6th and 7th grade,19,13,3,2,,,
-,-,great rates. cheap hotels by dubai save up to $570. book today for,-,-,-,98.72,Very Easy,1th and 2th grade,15,13,2,1,,,
-,-,rates book your hotel near virginia beach boardwalk. no reservation costs. great rates.,-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,"hotel, west point ny online. no reservation costs. great rates. book at tower",-,-,-,84.03,Easy,6th and 7th grade,18,13,3,3,,,
-,-,"hull book at hotel oudaya, canary florida. no reservation costs. great rates. best",-,-,-,73.34,Fairly Easy,7th and 8th grade,20,13,2,3,,,
-,-,nina no reservation costs save up to $603 on flight + hotel. book,-,-,-,76.22,Fairly Easy,5th and 6th grade,17,12,1,3,,,
-,-,"free lincoln shores ny book reservation great rates save big on this detroit,",-,-,-,83.66,Easy,4th and 5th grade,17,13,1,3,,,
-,-,golden canova online. no reservation costs. great rates. luxury harbour hotel with 2,-,-,-,58.65,Fairly Difficult,9th and 10th grade,22,13,3,5,,,
-,-,"hotel in ontario online. st 1,470,000 saint barbara city. no reservation costs. great",-,-,-,75.57,Fairly Easy,6th and 7th grade,19,13,3,4,,,
-,-,"energy calgary. telford, telford. no reservation costs. great rates. best rates on crown",-,-,-,81.8,Easy,13th and 14th grade,18,13,2,3,,,
-,-,"book at luxury hotel, ibiza orchard beach quick, confirmation no reservation costs. great",-,-,-,49.82,Difficult,9th and 10th grade,22,13,1,4,,,
-,-,price guarantee. book luxurious hotels book hotels near lenox park nj book at,-,-,-,66.74,Standard,7th and 8th grade,20,13,1,3,,,
-,-,"best value with expedia's in richmond, australia today! book at belmore inn and",-,-,-,73.34,Fairly Easy,9th and 10th grade,20,13,2,5,,,
,,,,,,,,,,,,,,Difficulty,count
,,,,,,,,,,,,,,Very Easy,24
,,,,,,,,,,,,,,Easy,26
,,,,,,,,,,,,,,Fairly Easy,30
,,,,,,,,,,,,,,Standard,11
,,,,,,,,,,,,,,Fairly Difficult,12
,,,,,,,,,,,,,,Difficult,4
,,,,,,,,,,,,,,Very Confusing,0
