original_title,generated _text,original_desc,perplexity,
['book a villa in albufeira - lowest price guarantee'],".
book at hotel marina, paris. no reservation costs. great rates.
book at hotel cara maya, mariville","{'book a villa in albufeira, portugal. no reservation costs. great rates.'}",23.80577435,
['impiana resort patong - book now with expedia & save - expedia.com'], arura beach. book now for the lowest prices on expedia the best price guartnne on she beach and boo,{'beach spa retreat walking distance from patong beach. shopping on site.'},87.50504013,
['top 10 jersey city hotels $119 | cheap hotels on expedia - expedia.com'], wour hotels in san francisco no reservat dnm the best rates or refund + $50 coupon. book your hotel,"{""more choices, best prices, trusted. save with expedia's price guarantee""}",74.74505337,
['vacations to costa rica - expedia.com']," fooe beach.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara may",{'great deals on vacation packages. book your trip to costa rica.'},43.09685255,
['philips arena hotels - get low rates in seconds - expedia.com']," at book at the sands hotel, liami. no reservation costs. great rates.
book at hotel cara maya, mari",{'best rates or refund + $50 coupon. save on hotels near phillips arena ga.'},49.86289313,
"['hotels in south beach, miami - best price guarantee - booking.com']"," and ein at hotel deals. book at hotel marina, paris. no reservation costs. great rates.
book at hot","{'book your hotel in south beach, miami. quick, easy booking. no reservation costs'}",47.56544119,
['hotels in ao nang krabi - save on hotels with expedia'],".
book at hotel cara maya, paris. no reservation costs. great rates.
book at hotel cara maya, marivi","{'best rates or refund + $50 coupon. book your hotel in ao nang, krabi today!'}",25.78167165,
['viking hotel- adults only - blackpool. book now - booking.com']," at best rates or refund + $50 coupon.
book at hotel ce rosa, paris.
no reservation costs. great rat",{'book at viking hotel- adults only blackpool. no reservation costs. great rates.'},62.44242923,
['harbor shores on lake geneva - lake geneva. book now.']," book at hotel san francisco, montral. no reservation costs. great rates.
book at hotel cara maya, m","{'harbor shores on lake geneva, lake geneva. no reservation costs. great rates.'}",44.88179182,
['rent a car at lax - search rental car deals now - expedia.com']," sate beaahs. book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara may",{'save on last minute car rental. compare low rates from top brands.'},39.52160351,
['cheap hotels in guam - lowest price guarantee - booking.com']," & save.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, ma",{'book a cheap hotel in guam online. no reservation costs. great rates.'},37.09913983,
"['winston salem, nc hotels - get low rates in seconds - expedia.com']"," to save with expedia.
book at hotel ce la ralla revojas, paris. no reservation costs. great rates.
",{'secure value with expedias price guarantee. save on hotels in winston salem nc.'},46.51651253,
['accommodation in rome - lowest price guarantee - booking.com']," & save on expedia & save.
book at hotel cara mayal, marina. no reservation costs. great rates.
book","{'book accommodation in rome online. no reservation costs. great rates.', 'book accommodation in rome. no reservation costs. great rates.'}",36.66380639,
['hollywood vacations 2017: package & save up to $603 | expedia']," toeey.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mar","{""save with expedia's price guarantee book a package to california.""}",36.33481673,
"['5 hotels in lake worth, fl - lowest price guarantee - booking.com']"," and save with expedia.
book at hotel ce la ralla, milan. no reservation costs. great rates.
book at",{'book your hotel in lake worth fl online. no reservation costs. great rates.'},38.84100823,
['orchard parade hotel singapore - best price guarantee - booking.com']," and save with expedias price guart tanes oaris hotel in downtown tancouver, walk to she beach. book","{'orchard parade hotel, singapore. no reservation costs. great rates.'}",55.75853253,
"[""htel de l'arcade, paris - best price guarantee - booking.com""]"," and save with expedias price guarantee.
book a hotel near san diego soaa. save up to 50% on your re","{""book at hotel de l'arcade, paris. no reservation costs. great rates.""}",75.39758966,
['handlery hotel san diego - book now & save with expedia.'],"
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, mariville","{""save with expedia's price guarantee. reviews for san diego hotels!""}",30.04699508,
['hotels near trevi fountain - rome. best price guarantee - booking.com']," and save with expedias price guart franuenee. book your hotel in san diego online
book at hotel ce ","{'book a hotel near trevi fountain, rome. save up to 50% on your reservation.'}",37.09273429,
['expedia cruises | alaska cruise vacations']," and save with expedia's price guarantee. book your hotel in san francisco
now!
book at hotel ce la ","{'find the perfect alaska cruise at the best price on expedia, the #1 travel site!'}",39.13187066,
['del mar motel on beach - best price guarantee - booking.com'],". book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mariville","{'del mar motel on the beach, del mar'}",23.64286357,
['hotels in niagara falls on - lowest price guarantee.'],"
book at hotel de la pari, florence. best rates or refund + $50 coupon.
book your hotel in calbridge",{'book your hotel in niagara falls on online. no reservation costs. great rates.'},61.14189803,
['audubon aquarium americas - starting from $31 per adult - expedia.com']," foeat shea.
book at hotel cara maya, mariville. no reservation costs. great rates.
book at hotel ca","{'admission to audubon aquarium of the americas. interactive, hands-on exhibits.'}",34.08700099,
"['hotel bellevue syrene - book at bellevue syrene, sorrento']",". no reservation costs. great rates.
book at hotel cara maya, mariville. no reservation costs. great",{'no reservation costs. great rates'},26.19627019,
"['hotels in milan, italy - lowest price guarantee - booking.com']"," and save with expedia.
book at hotel ce la ralna revojas
book at hotel marina, paris. no reservatio",{'book your hotel in milan online. no reservation costs. great rates.'},36.30875912,
['cheap hotels in wellington - lowest price guarantee - booking.com']," today for the seeence hotel cowntown book at the beach house, london. no reservation costs. great r",{'book a cheap hotel in wellington online. no reservation costs. great rates.'},87.1756607,
['things to do in athens - expedia.com']," to hotels.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya","{""find things to do in athens, greece save with expedia's price guarantee"", 'find things to do in athens, greece expedia guarantees the best price.'}",36.14727626,
"['2 hotels in millville, nj - lowest price guarantee - booking.com']"," and save with expedia.
book at hotel ce la ralla, senini. no reservation costs. great rates.
book a",{'book your hotel in millville nj online. no reservation costs. great rates.'},40.86212138,
['accommodation in glencoe - lowest price guarantee - booking.com']," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at ho",{'book accommodation in glencoe online. no reservation costs. great rates.'},66.61056902,
"['river palace hotel, rome - best price guarantee - booking.com']"," and save with expedias price gears oacrages.
book at hotel ce rosa, paris. no reservation costs. gr","{'book at river palace hotel, rome. no reservation costs. great rates.'}",47.812858,
"['deja resort, montego bay - formerly gloucestershire hotel']"," & spa, malciester. no reservation costs. great rates.
book at hotel cara maya, mariville. no reserv","{'deja resort montego bay, formerly the gloucestershire hotel. quick, easy booking'}",42.20838919,
['12 hotels in vacaville - save on hotels with expedia - expedia.com']," she best rates or refund + $50 coupon. book your hotel in san jose aeach today!
book at hotel cara ","{""find your ideal hotel in vacaville! save with expedia's price guarantee.""}",64.36425374,
['the book of mormon - find your perfect adventure - expedia.com'],"ge in manila. book at hotel cara maya, marieeston. no reservation costs. great rates.
book at hotel ","{'unbeatable deals on tickets. book on expedia today & save!', ""get the best rates on tickets. secure value with expedia's price guarantee.""}",27.46672383,
['cheap weekend getaways - book together & save today.']," book your hotel in san francisco now.
book at hotel ce la park, marieesta. no reservation costs. gr",{'make your weekend count. book now for the lowest prices!'},43.6711402,
"['cretan dream royal, stalos - best price guarantee - booking.com']"," today!for the best rates 
book at hotel ce rosa, paris. no reservation costs. great rates.
book at ","{'book at cretan dream royal, stalos. no reservation costs. great rates.'}",34.0876665,
"['grand hotel tiberio, rome - best price guarantee - booking.com']"," today!for the best rates!frpm hotel and sevin, nariville. no reservation costs. great rates.
book a","{'book at grand hotel tiberio, rome. no reservation costs. great rates.'}",41.32134175,
"['rendezvous at skipton, skipton - best price guarantee - booking.com']"," and save with expedias price guart tanes oaris hotel in downtown tancouver, walk to she beach. book","{'book at rendezvous at skipton, skipton. no reservation costs. great rates.'}",55.75853253,
['thistle kensington gardens - earn expedia+ points']," peuieta conines beach.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hot","{""book today and save with expedia's price guarantee.""}",48.37790292,
"['the west park hotel, harrogate - best price guarantee - booking.com']"," and save with expedias price guart tanes oaris hotel in downtown tancouver, walk to she beach. book","{'book at the west park hotel, harrogate. no reservation costs. great rates.'}",55.75853253,
['hotels in mission district - save on hotels with expedia - expedia.com']," she best rates or refund + $50 coupon. book your hotel in san jose online.
book at hotel ce rosa, p",{'best rates or refund + $50 coupon. book your mission district hotel today!'},88.41282818,
['fallsview indoor waterpark - niagara falls | expedia - expedia.com']," she book at hotel cara mayal, marina. no reservation costs. great rates.
book at hotel cara maya, m","{""value deals on local activities! save with expedia's price guarantee"", 'find sightseeing tours & activities book on expedia today & save!'}",43.53997674,
"['48 hotels in calexico, ca - book great hotels on expedia - expedia.com']","ien anl inclusive resort.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at h","{'find and compare exclusive deals on hotels in calexico, california and save big!'}",70.6513702,
"['40 hotels in linz, austria - lowest price guarantee.']"," book your hotel in san diego online
book at hotel marina, paris. no reservation costs. great rates.",{'book your hotel in linz online. no reservation costs. great rates.'},31.55321801,
"['5 hotels in gilroy, california - lowest price guarantee - booking.com']"," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hot",{'book your hotel in gilroy ca online. no reservation costs. great rates.'},58.59760799,
"['the pyramid at grand oasis - all inclusive: 2017 room prices, deals']"," at expedia.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya",{'expedia price guarantee. save big on hotels in cancun.'},32.01847636,
"['royal inka i: 2017 room prices, deals & reviews | expedia']",".
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mariville",{'expedia price guarantee. hotels in cusco - machu picchu.'},23.64286357,
"['princesa yaiza suite - more choices, best prices - expedia.com']"," and save with expedia's phser peviet.
book at hotel ce la marina, paris. no reservation costs. grea",{'book online today and save. princesa yaiza suite lanzarote'},50.22432971,
['fairview heights hotels - best hotel price guaranteed - expedia.com'],ge in maritille on expedia best rates or refund + $50 coupon. book your hotel in san francisco today,"{'more choices, best prices, trusted. hotels in fairview heights.'}",74.80835104,
['albright hussey manor hotel - shrewsbury. book now - booking.com']," at book at hotel ce ralaa, paris. no reservation costs. great rates.
book at hotel cara maya, mariv","{'albright hussey manor hotel, shrewsbury. no reservation costs. great rates.'}",30.43801718,
"['5 hotels in hickory, nc - lowest price guarantee - booking.com']"," and save with expedia.
book at hotel ce la ralla, senini. no reservation costs. great rates
book at",{'book your hotel in hickory nc online. no reservation costs. great rates.'},35.61881754,
['the ethorpe hotel - booking.com'],". book at hotel ce rosa, paris. best rrice guarantee.
book at hotel ce rosa, paris. best rrice guara","{'the ethorpe hotel, gerrards cross. no reservation costs. great rates!'}",32.88745118,
['cheap hotels in budapest - lowest price guarantee - booking.com']," and save with expedias book at hotel ce la raloa aldala, san francisco. no reservation costs. great",{'book a cheap hotel in budapest online. no reservation costs. great rates.'},50.38676794,
"['29 hotels in port lavaca, tx - book great hotels on expedia.']"," save with expedia's price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rate","{'find and compare exclusive deals on hotels in port lavaca, texas and save big!'}",56.61494469,
['incheon international airport - great prices guaranteed - expedia.com']," fooelia cester.
book at hotel cara maya, mariville. no reservation costs. great rates.
book at hote",{'best rates or refund + $50 coupon. incheon international airport hotels.'},42.13367412,
"['top 10 hotels in new york, ny $143 | hotel deals on expedia.com']"," to book at hotel cara mayal, marina. no reservation costs. great rates.
book at hotel cara maya, ma","{""best rates or refund + $50 coupon. save with expedia's price guarantee""}",36.4354326,
['the imperial new delhi - view great hotels & book now'],".
book at hotel ce la marina, paris. no reservation costs. great rates.
book at hotel cara maya, mar",{'best rates on the imperial new delhi. plan your next trip with expedia.'},38.85780661,
['jashita hotel - expedia.com']," book at hotel ce rosa, paris. no reservation costs. great deals on hotels in san diego.
book at hot",{'expedia price guarantee. save big on hotels in riviera maya.'},47.23495362,
['what to do in berlin - make your trip memorable - expedia.com']," to book at she she carino hotel, london. no reservation costs. great rates.
book at hotel cara maya","{'find deals on sightseeing tours, activities & must-see attractions - book today.'}",46.00450914,
['pet friendly hotels rapid city - save on hotels with expedia'],".
book at hotel ce la raint gelinoi, paris. no reservation costs. great rates.
book at hotel cara ma",{'low rates or refund + $50 coupon. book your rapid city hotel now!'},36.54919905,
['accommodation in jackson - lowest price guarantee - booking.com']," t best price guarantee.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at ho",{'book accommodation in jackson online. no reservation costs. great rates.'},66.61056902,
['the roebuck inn  relaxinnz - harrietsham. book now.'],"
book at hotel ce la park, marina. no reservation costs. great rates.
book at hotel cara maya, mariv","{'the roebuck inn - relaxinnz, harrietsham. no reservation costs. great rates.'}",37.243516,
['hotel new ueno - book now with expedia & save - expedia.com']," towr of she best price. book at hotel ce rosa, paris. no reservation costs. great rates
book at hot","{'3-star tokyo hotel in taito, walk to ueno park and ueno royal museum.'}",70.55033994,
['tokyo hostel - save on hotels with expedia - expedia.com']," she best rates or refund + $50 coupon. book your hotel in calbridge today!
book at hotel cara marin",{'best rates or refund + $50 coupon. cheap hotel deals at expedia.'},63.83401206,
['condo rentals in boardwalk - ocean city. book now - booking.com']," and save blg
save on hotels in san diego.
book at hotel ce rosa, paris. no reservation costs. great",{'book a condo in boardwalk ocean city. no reservation costs. great rates.'},33.820929,
['yavapai lodge - hotel located inside grand canyon'],", new york. no reservation costs. great rates.
book at hotel cara maya, mariville. no reservation co",{'expedia guarantees the best price.'},69.8823932,
['times square hotels nyc - best hotel price guaranteed - expedia.com'],"ge in manala online. book at hotel la piari, paris. no reservation costs. great rates!
book at hotel",{'expedia guarantees the best price. new york hotels in times square.'},34.21549543,
['old town scottsdale hotels - best price guarantee - booking.com']," and save with expedias price geals in she andrilan. book now! no reservation costs. great rates.
bo",{'book a hotel near old town scottsdale. save up to 50% on your reservation.'},77.48170847,
['hotels in poros greece - save on hotels with expedia - expedia.com']," she best rates or refund + $50 coupon. book your hotel in san jose aeach today!
book at hotel cara ","{'more choices, best prices, trusted. save big on hotels in poros, greece'}",64.36425374,
['red lion portland airport - book now & save with expedia - expedia.com'],"ge with fxpedia today!
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel","{""save with expedia's price guarantee. see reviews & photos of red lion""}",29.5584597,
['geary parkway motel - best price guarantee - booking.com']," and save with expedia.
book at hotel ce la ralla, seninyak. no reservation costs. great rates.
book","{'geary parkway motel, san francisco'}",38.89583266,
['128 hotels in helsinki - book great hotels on expedia - expedia.com']," freat sates. book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara ma",{'find and compare exclusive deals on hotels in helsinki and save big!'},37.14118463,
['the 30 best hotels & places to stay in brighton & hove - booking.com']," and save on your hotel in marina online
book at hotel ce rosa, paris. no reservation costs. great r","{'book at over 660,000 hotels online. no reservation costs. great rates.'}",41.23764436,
['augusta club -adults only- - lloret de mar. book now - booking.com']," at beach hotels. book at hotel la piar, paris. no reservation costs. great rates.
book at hotel car","{'augusta club -adults only-, lloret de mar. no reservation costs. great rates.'}",41.89560755,
"['motels in joplin, mo - lowest price guarantee - booking.com']"," today!
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mar","{'book a motel in joplin, mo. no reservation costs. great rates.'}",36.33481673,
['fort lauderdale airport car rental - get low prices in seconds']," book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, mariville",{'save on last minute car rental. compare low rates from top brands.'},30.04699508,
['125 hotels in chicago il - half-price hotels - booking.com']," & book your hotel in san francisco now.
book at hotel ce la park, marieesta. no reservation costs. ",{'book your hotel in chicago il'},41.83585801,
['killington mountain hotels - best price guarantee - booking.com']," and save with expedias price geals in she andrilan. book now! no reservation costs. great rates.
bo",{'book a hotel near killington mountain. save up to 50% on your reservation.'},77.48170847,
"['k west hotel & spa, london, uk - booking.com']"," and save.
pley uith expedia savings on all aruises at the best rrices.
book at hotel ce la marina, ","{'book at over 660,000 hotels online. no reservation costs. great rates.', 'book at over 500,000 hotels online no reservation costs. great rates.'}",88.97282341,
"['phuket luxury hotels - more choices, best prices - expedia.com']"," ar booking.com and save on this san diego hotel!
book at hotel ce la park, marieesta. no reservatio",{'best rates or refund + $50 coupon. book luxury hotels in phuket today!'},130.9076675,
['grand bahia principe - punta cana. best price guarantee - booking.com']," and save with expedia's price guartine.
save on hotels in san diego, ca.
book at hotel ce la marina",{'no reservation costs. great rates.'},54.64553469,
"['76 hotels in mackinaw city, mi - book great hotels on expedia.']"," save with expedia's price guarantee.
book at hotel marina, paris. no reservation costs. great rates","{'find and compare exclusive deals on hotels in mackinaw city, mi and save big!'}",32.32177703,
['shangri-la hotel vancouver - book now with expedia & save.'],"
book at hotel cara maya, mariville. no reservation costs. great rates.
book at hotel cara maya, mar",{'luxury vancouver hotel in downtown vancouver. walk to offsite.'},37.52174503,
['gnv airport car rental - reserve your car now - expedia.com']," town hotels near the airport.
book at hotel ce rosa, paris. no reservation costs. great rates
book ",{'save on last minute car rental. compare low rates from top brands.'},43.90159088,
['seaworld san diego ticket - unbeatable deals on tickets'],".
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, marivill","{""save with expedia's price guarantee""}",25.78167165,
['10 gaslamp quarter hotels - save on hotels with expedia - expedia.com']," she best rates or refund + $50 coupon. book your hotel in san jose aeach today!
book at hotel cara ","{""book your hotel in gaslamp quarter. save with expedia's price guarantee.""}",64.36425374,
['hotels near ucf arena - best price guarantee - booking.com']," and save with expedia'
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hot",{'book a hotel near ucf arena. save up to 50% on your reservation.'},41.27448331,
['ala moana hotel - view great hotels & book now - expedia.com']," at best rates or refund + $50 coupon.
book at hotel ce rosa, paris.
no reservation costs. great rat",{'best rates on ala moana hotel. plan your next trip with expedia.'},62.44242923,
['the manhattan club - nyc - best price guarantee - booking.com']," today!
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mar",{'book at the manhattan club new york'},36.33481673,
"['shangri la sydney - more choices, best prices - expedia.com']"," she best prices.
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara",{'best rates or refund +$50 coupon. 5* sydney hotel near circular quay.'},28.20350034,
['2 salmon creek wa hotels - lowest price guarantee - booking.com']," today!for the best rates!
book at hotel ce rosa, paris. no reservation costs. great rates.
book at ",{'book your hotel in salmon creek wa'},37.3611883,
"['15 hotels in caribou, maine - book great hotels on expedia.']"," book at hotel ce la marina, paris. no reservation costs. great rates
book at hotel cara maya, mariv","{'find and compare exclusive deals on hotels in caribou, maine and save big!'}",34.15385082,
['islander new smyrna beach - new smyrna beach. book now.'],"
book at hotel ce la ralla, senini. no reservation costs. great rates.
book at hotel cara maya, mari","{'islander beach resort, new smyrna beach. best price guarantee.'}",37.243516,
"['sawasdee pattaya - more choices, best prices - expedia.com']"," and save on hotels in san francisco.
book at hotel cara marina, paris. no reservation costs. great ",{'great rates on this pattaya hotel. reviews & photos of sawasdee.'},35.00083846,
"['phoenix hotel, san francisco - best price guarantee - booking.com']"," and save with expedias price geals at book at hotel ce rosa, paris. no reservation costs. great rat","{'phoenix hotel, san francisco. no reservation costs. great rates.'}",39.57301032,
"['cheap flights to st. lucia, st. lucia $343.40 in 2017 - expedia.com']",".
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mariville",{'compare & pick from 400+ airlines. book your flight w/ expedia today!'},23.64286357,
['the bliss south beach patong - patong beach. book now - booking.com']," at book at hotel ce ralaa, paris. no reservation costs. great rates.
book at hotel cara maya, mariv","{'the bliss south beach patong, patong beach. no reservation costs. great rates.'}",30.43801718,
"['hard rock hotel, orlando - no reservation costs. great rates']","!
book at hotel cara marina, paris. no reservation costs. great rates.
book at hotel cara maya, mari","{'hard rock hotel, orlando'}",31.15651256,
['best hotels in milan - lowest price guarantee - booking.com']," today!for the book your hotel in san diego online. no reservation costs. great rates.
book at hotel",{'book the best hotel in milan. no reservation costs. great rates.'},32.55092682,
['los angeles things to do - make your trip memorable.']," book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, mariville","{'find deals on sightseeing tours, activities & must-see attractions - book today.'}",30.04699508,
"['5 hotels in goderich, ontario - lowest price guarantee - booking.com']"," today!for the book at she beach hotel, liami. no reservation costs. great rates.
book at hotel cara",{'book your hotel in goderich on online. no reservation costs. great rates.'},40.12349485,
['180 hotels in bahamas - best price guarantee.']," book at hotel marina, marina. no reservation costs. great rates.
book at hotel cara maya, mariville",{'book your hotel in the bahamas online. no reservation costs. great rates.'},27.87170978,
['great ocean road attractions - make your trip memorable.'],"
book at hotel cara maya, mariville. no reservation costs. great rates.
book at hotel cara maya, mar","{'find deals on sightseeing tours, activities & must-see attractions - book today.'}",37.52174503,
"['sandy beach hotel and resort: 2017 room prices, deals & reviews']"," on siversine.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara m","{'more choices, best prices, trusted. al-fujairah - eastern coast hotels.'}",41.49926947,
"['hotel pyr, marbella - booking.com']",". book at hotel ce rosa, paris. no reservation costs.
great rates on shi ginring hotels near the air","{'book at hotel pyr, marbella no reservation costs. great rates!'}",45.67768024,
['2100 hotels in tenerife - up to half-price on hotels - booking.com']," and save big!
book at hotel cara maya, mariville. no reservation costs. great rates.
book at hotel ",{'book your hotel in tenerife online. no reservation costs. great rates.'},24.24716084,
['flights to palermo - find cheap flights to palermo - expedia.com']," tagkey hotels.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara ","{'search over a million flights, hotels, packages & more. book your ultimate trip.'}",30.04699508,
['hotels near magnificent mile - best price guarantee - booking.com']," today!
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mar",{'book a hotel near magnificent mile. save up to 50% on your reservation.'},36.33481673,
['arsenal fc tickets - get the best rates on tickets.']," book on expedia the best prices.
book at hotel ce rosa, paris. no reservation costs. great rates.
b",{'premier league: arsenal fc soccer games at emirates stadium. no booking fees.'},40.1683175,
['stl airport car rental - search rental car deals now - expedia.com']," a book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara maya, marivil",{'save on last minute car rental. compare low rates from top brands.'},32.02187609,
['cheap hotels fargo - best hotel price guaranteed - expedia.com'],"ge gran farae. book at hotel ce rosa, paris. no reservation costs. great rates.
book at hotel cara m","{'more choices, best prices, trusted. find cheap hotels in fargo, nd.'}",43.34386133,
['cusco day tour machu picchu - value deals on local activities'],"!
book at hotel la piario, paris. no reservation costs. great rates
book at hotel cara maya, marivil",{'expedia guarantees the best price.'},33.12656602,
['20 hotels in west hollywood - los angeles. book now - booking.com']," and save 
book at hotel ce la marina, paris. no reservation costs. great rates.
book at hotel cara ","{'book a hotel in west hollywood, los angeles. no reservation costs. great rates.'}",30.41480067,
['santiago bernabeu stadium - book your hotel now & save'],".
book at hotel cara mayal, marina. no reservation costs. great rates.
book at hotel cara maya, mari",{'best rates or refund + $50 coupon. santiago bernabeu stadium hotels.'},25.78167165,
['cheap hotels downtown montreal - save on hotels with expedia']," foargoden today!
book at hotel cara marina, paris. no reservation costs. great rates.
book at hotel",{'best rates or refund + $50 coupon. book a cheap downtown montreal hotel today!'},27.87170978,
['drury inn & suites - west des moines. book now - booking.com']," and save! book at hotel la calbina, paris. no reservation costs. great rates.
book at hotel cara ma","{'drury inn & suites, west des moines. best price guarantee.'}",40.9738598,
"[""drury inn & suites, o'fallon - best price guarantee - booking.com""]"," and save with expedias price geals at book at hotel ce rosa, paris. no reservation costs. great rat","{""drury inn & suites, o'fallon. no reservation costs. great rates.""}",39.57301032,
"['top 10 hotels in hurricane, utah $60 | cheap hotels on expedia']",".
book at hotel cara mayal, marina. no reservation costs. great rates.
book at hotel cara maya, mari","{'more choices, best prices, trusted. save big on hotels in utah.'}",25.78167165,
"['hotels in athens, greece - book your hotel now & save - expedia.com']"," tow fes at the beach.
book at hotel ce rosa, paris. no reservation costs. great rates.
book at hote","{'best rates or refund + $50 coupon. save on hotels in athens, greece.'}",65.08717058,
['paradise village beach resort - book now & save with expedia.'],"
book at hotel ce rosa, paris. no reservation costs. great rates
book at hotel cara maya, mariville.","{'nuevo vallarta resort with golf, zoo, shopping mall. animal shows.'}",27.41433006,
"['taoyuan airport hotels - more choices, best prices - expedia.com']"," and save on hotels in san diego.
book at hotel cara marina, paris. no reservation costs. great rate",{'save now on your taoyuan international airport hotel with expedia.'},52.5936837,
['25 hotels in wroxham - lowest price guarantee - booking.com']," and save with expedia.
book at hotel ce la ralla, senini. no reservation costs. great rates.
book a",{'book your hotel in wroxham online. no reservation costs. great rates.'},40.86212138,
