original_title,3_rand_words,generated _text,original_desc,perplexity,
['popina book of baking'],baking popina of," anoiversary - amazon.com
book of she sareen
books on she sales
books on she sales
books on she sale","['by isidora popovicfree shipping on qualified orders.', 'by isidora popovicfree shipping on qualified orders.', 'by isidora popovicfree shipping on qualified orders.', 'by isidora popovicfree shipping on qualified orders.', 'by isidora popovicfree shipping on qualified orders.', 'by isidora popovicfree shipping on qualified orders.']",150.6380605,
['macbook pro case 13 inches case - free shipping w/ prime'],inches macbook -," amazon.com
book of she sareen
books on she sales
books on she sales
books on she sales
books on she","['find deals on macbook pro case 13 inches case in computers on amazon.', 'find deals on macbook pro case 13 inches case in computers on amazon.', 'find deals on macbook pro case 13 inches case in computers on amazon.', 'find deals on macbook pro case 13 inches case in computers on amazon.', 'find deals on macbook pro case 13 inches case in computers on amazon.']",185.9393738,
"['ham radio test book - millions of titles, new & used']",& test ham,"ttoret
books on amazon - amazon. car - amffent - save on amazon - amazon. car - amffent - save on am","['free shipping on qualified orders.', 'free shipping on qualified orders.']",33.56990861,
['seek a word books'],a word books," - millions
books on sape
books on she
book of shelf brown
books on amazon - save on amazon.com
book","['tickle your funny bonewith humor &amp; entertainment books!', 'tickle your funny bonewith humor &amp; entertainment books!', 'tickle your funny bonewith humor &amp; entertainment books!', 'tickle your funny bonewith humor &amp; entertainment books!']",27.82097568,
"[""my first dictionary dk - save on kids' books for all ages""]",save dk for," kids - save on amazon.comal
book of selling - save on amazon.comal
book of selling - save on amazon",['free shipping on qualified orders.'],30.38744416,
['math puzzle books for kids'],math for kids," - shop low - amazon.com
books on caro
books on cas - amazon - save on rame
books on shelf
macbook p","[""save on kids' books for all ages.free shipping on qualified orders.""]",20.98445524,
"[""books wwii at amazon - save on kids' books for all ages""]",books all for," kids - shop low - amazon.com
books on caro
books on cas - amazon - save on rame
books on shelf
macb","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",20.84703695,
['macbook pro 15 retina dock'],15 pro dock,"iog series - save on amazon.comal
book of selling - save on amazon.comal
book of selling - save on a","['top-rated macbook pro 15 retina dock free 2-day shipping w/amazon prime!', 'top-rated macbook pro 15 retina dock free 2-day shipping w/amazon prime!', 'top-rated macbook pro 15 retina dock free 2-day shipping w/amazon prime!']",46.31753047,
['cd books for kids at amazon - shop books'],books books -, save on readers - save on readers - save on readers - save on readers - save on readers - save on r,"['free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.']",40.8936259,
['ssat official guide at amazon - shop books - amazon.com'],official at amazon," - shop books
shop book of she - amazon.com
book of she saint - save on referen - save on referen - ","['free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.', 'free 2-day shipping with amazon prime. low prices on millions of books.']",36.424912,
['2008 macbook battery at amazon - shop computers & add-ons'],2008 & add-ons," - save on reciers - amazon.com
books on cares
books of mandala
books on she - amazon.com
books on c","['top-rated 2008 macbook battery. free 2-day shipping with amazon prime.', 'top-rated 2008 macbook battery. free 2-day shipping with amazon prime.', 'top-rated 2008 macbook battery. free 2-day shipping with amazon prime.', 'top-rated 2008 macbook battery. free 2-day shipping with amazon prime.']",29.66565798,
['book on book transparent'],book transparent book,"s - official site
books on she sarascay - save on reference books
books on she sarascay - save on re","['shop for office supplies on amazon. compare by price, type &amp; brand.']",68.37025333,
['neonatal books at amazon'],neonatal books at," amazon
the book of series
books on she saie - save big on new - millions of thteners - save on refe","['millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new & used. free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.', 'millions of titles, new &amp; used.free shipping on qualified orders.']",35.87482342,
['katie perry books at amazon - buy now'],at perry books,"
books on sale
books on she - amazon.com
books on cares
books of mandala
books on she - amazon.com
b","['save on millions of ebooks instant delivery to any device', 'save on millions of ebooks instant delivery to any device', 'save on millions of ebooks instant delivery to any device']",45.90942573,
['salad cookbook - amazon books - official site'],site official cookbook,"
books on she sarascayoon - official site
books on she sarascato - save on reference - amazon.com
bo","['browse & discover thousands of cooking food & wine book titles, for less.', 'browse & discover thousands of cooking food & wine book titles, for less.']",63.09627652,
"[""dk books star wars - save on kids' books for all ages""]",save books kids', - save on refereat - save on refereat - save on refereat - save on refereat - save on refereat - sa,"['free shipping on qualified orders.', 'free shipping on qualified orders.']",28.24694831,
['minnie mouse board books'],minnie board books, - save on referen - save on referen - save on referen - save on referen - save on referen - save on,"['buy minnie mouse board books at amazon! free shipping on qualified orders.', 'buy minnie mouse board books at amazon! free shipping on qualified orders.', 'buy minnie mouse board books at amazon! free shipping on qualified orders.']",18.39751378,
['chapter books 2nd grade - amazon.com'],grade books amazon.com,"
books on card for kids - official site
books on she sarascato - save on reference - amazon.com
book","[""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders.""]",28.3537842,
['mac book pro 13 inch sticker'],13 inch pro,"tl
books on sape - save on amazon.comal
book of selling - save on amazon.comal
book of selling - sav","['top-rated mac book pro 13 inch sticker free 2-day shipping w/amazon prime!', 'top-rated mac book pro 13 inch sticker free 2-day shipping w/amazon prime!', 'top-rated mac book pro 13 inch sticker free 2-day shipping w/amazon prime!', 'top-rated mac book pro 13 inch stickerfree 2-day shipping w/amazon prime!']",48.86479664,
['dolce cookbook at amazon'],at amazon dolce,"ro
books on she - amazon.com
books on she - amazon.com
books on she - amazon.com
books on she - amaz",['books to suit every method of staying healthy'],48.82579817,
['fortran 95 handbook'],fortran 95 handbook," - millions of titles
shop book shelf spiral - save on referen ol amazon - low prices on nal - amazo","['books to satisfy anyone from new learners to computer geeks.', 'books to satisfy anyone from new learners to computer geeks.', 'books to satisfy anyone from new learners to computer geeks.', 'books to satisfy anyone from new learners to computer geeks.', 'books to satisfy anyone from new learners to computer geeks.', 'books to satisfy anyone from new learners to computer geeks.']",43.20961779,
['spectrum math workbooks'],spectrum math workbooks,"
books on she sarascat
books on she sarascat
books on she sarascat
books on she sarascat
books on sh","[""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders."", ""save on kids' books for all ages. free shipping on qualified orders.""]",85.1717995,
"[""finnish childrens books - save on kids' books for all ages""]",childrens all kids'," - amazon.com
books on card bdar - millions of titles
shop book shelf spiral - save on referen ol am",['free shipping on qualified orders.'],48.23226175,
['rental college books'],rental college books," - save on reference - shop low prices & save on real book - amazon.com
books on card free
books on ",['free 2-day shipping w/ amazon prime low prices on millions of books'],25.37301897,
['lucy hawking books - official site'],lucy books hawking,"
books on carter for kids - official site
books on she sarah - amazon.com
book of she saint - save o","['browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.', 'browse & discover thousands of book titles, for less.']",87.66923996,
['baby girl scrapbook at amazon - official site'],site - girl,"e on amazon.comal
book of selling - save on amazon.comal
book of selling - save on amazon.comal
book","['buy baby girl scrapbook at amazon. free shipping on qualified orders.', 'buy baby girl scrapbook at amazon. free shipping on qualified orders.', 'buy baby girl scrapbook at amazon. free shipping on qualified orders.']",51.37257308,
"['freshwater fish books - millions of titles, new &amp; used']",new of books,"
books on cd
the bookends
books on cd
the bookends
books on cd
the bookends
books on cd
the bookends","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",57.22321778,
['the period book - by karen gravelle - amazon.com'],gravelle the book," - amazon.com
book of she book - millions of title - amazon.com
book of she book - millions of title","['only $6.24 free shipping on qualified orders.', 'only $6.24 free shipping on qualified orders.', 'only $6.24 free shipping on qualified orders.']",98.41619258,
['this book is secret - free 2-day shipping w/ amazon prime'],prime w/ 2-day," collot - amazon.com
books on cares
books of mandala
books on she - amazon.com
books on cares
books ","['low prices on millions of books', 'low prices on millions of books']",23.04574172,
['save on faux books decor - amazon official site'],books faux amazon,".com
books on sale on amazon - low prices on rape
books on sale on amazon - low prices on rape
books","['shop devices, apparel, books, music & more. free shipping on qualified orders.', 'shop devices, apparel, books, music & more. free shipping on qualified orders.', 'shop devices, apparel, books, music & more. free shipping on qualified orders.', 'shop devices, apparel, books, music & more. free shipping on qualified orders.', 'shop devices, apparel, books, music & more. free shipping on qualified orders.']",31.1119709,
['handbook of at amazon'],at of amazon,".com
books on sape
books on she
book of shelf brown
books on amazon - save on amazon.com
books on sa","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books']",41.21952871,
['fetal echocardiography books'],fetal echocardiography books," - official site
books on she sarascatic - amazon.com
books on sale on amazon - low priced books for","['free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books', 'free 2-day shipping w/ amazon prime low prices on millions of books']",30.01787634,
"['books on dog behavior - millions of titles, new & used']",& on dog,"s
books free - amazolo - save - amazolo - save - amazolo - save - amazolo - save - amazolo - save - ","['free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.', 'free shipping on qualified orders.']",16.5926199,
['log book pages on amazon'],log book amazon,".com
books on she - amazon.com
books on she - amazon.com
books on she - amazon.com
books on she - am","['shop for log book pages on amazon.compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type &amp; brand.', 'shop for log book pages on amazon. compare by price, type & brand.', 'shop for log book pages on amazon. compare by price, type & brand.', 'shop for log book pages on amazon.compare by price, type &amp; brand.']",57.49784819,
